country_code,lstm_recovery_years
ABW,0.0
AFG,0.0
AGO,
ALB,0.0
AND,3.0
ARE,
ARG,2.0
ARM,0.0
ATG,0.0
AUS,1.0
AUT,0.0
AZE,1.0
BDI,0.0
BEL,0.0
BEN,0.0
BFA,0.0
BGD,0.0
BGR,0.0
BHR,1.0
BHS,2.0
BIH,0.0
BLR,0.0
BLZ,0.0
BMU,3.0
BOL,0.0
BRA,0.0
BRB,3.0
BRN,0.0
BTN,0.0
BWA,0.0
CAF,0.0
CAN,2.0
CHE,1.0
CHL,0.0
CHN,0.0
CIV,0.0
CMR,0.0
COD,0.0
COG,3.0
COL,0.0
COM,0.0
CPV,0.0
CRI,0.0
CUW,0.0
CYM,0.0
CYP,0.0
CZE,0.0
DEU,0.0
DJI,0.0
DMA,0.0
DNK,0.0
DOM,0.0
DZA,0.0
ECU,2.0
EGY,0.0
ESP,0.0
EST,0.0
ETH,0.0
FIN,0.0
FJI,0.0
FRA,0.0
FRO,0.0
FSM,0.0
GAB,1.0
GBR,0.0
GEO,0.0
GHA,0.0
GIN,0.0
GMB,0.0
GNB,0.0
GNQ,
GRC,0.0
GRD,0.0
GRL,0.0
GTM,1.0
GUY,0.0
HKG,0.0
HND,0.0
HRV,0.0
HTI,0.0
HUN,0.0
IDN,0.0
IND,0.0
IRL,0.0
IRN,0.0
IRQ,
ISL,3.0
ISR,0.0
ITA,0.0
JAM,0.0
JOR,0.0
JPN,1.0
KAZ,0.0
KEN,0.0
KGZ,0.0
KHM,0.0
KIR,0.0
KNA,0.0
KOR,0.0
KWT,0.0
LAO,0.0
LBN,
LBR,0.0
LBY,0.0
LCA,0.0
LKA,0.0
LSO,0.0
LTU,0.0
LUX,1.0
LVA,0.0
MAC,
MAR,0.0
MDA,0.0
MDG,0.0
MDV,0.0
MEX,0.0
MHL,0.0
MKD,0.0
MLI,0.0
MLT,0.0
MMR,0.0
MNE,0.0
MNG,0.0
MOZ,0.0
MRT,1.0
MUS,0.0
MWI,0.0
MYS,0.0
NAM,
NER,0.0
NGA,
NIC,0.0
NLD,0.0
NOR,0.0
NPL,0.0
NRU,1.0
NZL,0.0
OMN,0.0
OWID_EU27,0.0
OWID_HIC,0.0
OWID_KOS,0.0
OWID_LIC,0.0
OWID_LMC,0.0
OWID_UMC,0.0
OWID_WRL,0.0
PAK,0.0
PAN,0.0
PER,0.0
PHL,0.0
PLW,0.0
PNG,0.0
POL,0.0
PRI,0.0
PRT,0.0
PRY,0.0
PSE,1.0
QAT,2.0
ROU,0.0
RUS,0.0
RWA,0.0
SAU,0.0
SDN,
SEN,0.0
SGP,0.0
SLB,0.0
SLE,0.0
SLV,0.0
SMR,0.0
SOM,0.0
SRB,0.0
STP,0.0
SUR,0.0
SVK,0.0
SVN,0.0
SWE,0.0
SWZ,0.0
SXM,0.0
SYC,0.0
SYR,0.0
TCA,4.0
TCD,1.0
TGO,0.0
THA,0.0
TJK,0.0
TKM,0.0
TLS,0.0
TON,1.0
TTO,0.0
TUN,0.0
TUR,0.0
TUV,0.0
TZA,0.0
UGA,0.0
UKR,0.0
URY,0.0
USA,0.0
UZB,0.0
VCT,0.0
VIR,0.0
VNM,0.0
VUT,0.0
WB_EAP,0.0
WB_ECA,0.0
WB_LAC,0.0
WB_MENAP,1.0
WB_NA,0.0
WB_SA,0.0
WB_SSA,0.0
WSM,1.0
ZAF,0.0
ZMB,0.0
ZWE,0.0
