country_code,shock,pre_shock_gdp,recovery_speed_years,recovery_quality_pct
ABW,recession_2008,39462.586,11.0,88.28093526359372
AFG,recession_2008,2155.353,1.0,127.91651761915563
AGO,recession_2008,10437.59,1.0,105.74892288353921
ALB,recession_2008,10262.967,1.0,118.41715948224328
AND,recession_2008,65534.117,16.0,92.27325821754796
ARE,recession_2008,87180.61,,83.95261285737735
ARG,recession_2008,26850.664,2.0,109.5904369441292
ARM,recession_2008,10898.849,3.0,100.8379600451387
ATG,recession_2008,33245.27,,75.27061142833253
AUS,recession_2008,51663.242,1.0,103.08498835593787
AUT,recession_2008,60470.91,3.0,101.32517933002828
AZE,recession_2008,16587.365,1.0,116.7037561420997
BDI,recession_2008,994.96356,4.0,99.9726261331621
BEL,recession_2008,56983.46,6.0,99.30127093019624
BEN,recession_2008,2729.1375,1.0,100.10534463727095
BFA,recession_2008,1731.9304,1.0,112.006036732192
BGD,recession_2008,3608.9155,1.0,120.60205621328623
BGR,recession_2008,20440.338,1.0,109.20134980155416
BHR,recession_2008,52731.793,3.0,100.75957402017414
BHS,recession_2008,35797.117,16.0,90.88905679191987
BIH,recession_2008,11178.728,1.0,111.70949861200666
BLR,recession_2008,20019.611,1.0,126.89934884349152
BLZ,recession_2008,12973.207,,89.73703263965494
BMU,recession_2008,118691.07,,85.92889928450387
BOL,recession_2008,8493.948,1.0,112.48532484540756
BRA,recession_2008,16440.584,1.0,113.30382181070942
BRB,recession_2008,24145.754,,91.5377585640937
BRN,recession_2008,96752.62,,93.30978737319982
BTN,recession_2008,8195.07,1.0,130.7455213927398
BWA,recession_2008,15850.234,5.0,96.12930004692674
CAF,recession_2008,1284.5529,1.0,118.10711727014125
CAN,recession_2008,53761.863,4.0,99.84983221284574
CHE,recession_2008,74234.305,2.0,100.76323877484946
CHL,recession_2008,22878.883,1.0,110.8719774475004
CHN,recession_2008,8013.716,1.0,142.31871955532242
CIV,recession_2008,3999.691,1.0,100.44295171802023
CMR,recession_2008,4302.619,3.0,100.12162359716257
COD,recession_2008,1091.004,1.0,110.51654256079722
COG,recession_2008,7375.8247,1.0,115.13859595931015
COL,recession_2008,13318.304,1.0,111.51847862911073
COM,recession_2008,3012.5474,1.0,107.12583642667333
CPV,recession_2008,6767.4067,1.0,108.25097891634027
CRI,recession_2008,17743.623,1.0,108.51737551006353
CUW,recession_2008,33490.254,,97.65335013583353
CYM,recession_2008,92343.73,,81.32098411012855
CYP,recession_2008,43823.94,11.0,94.04188669480654
CZE,recession_2008,39629.008,3.0,100.19974257241057
